state,county,state_fips,zip,company,plan_name,plan_type,plan_id,link_to_plan_page
AL,Chilton,1,35045,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0003 (HMO-POS),Medicare Advantage with drug coverage,H2802-041-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H2802-041-0?fips=01021&plan_type=PLAN_TYPE_MAPD&zip=35045&year=2025&lang=en&page=1
AL,Chilton,1,35045,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0004 (PPO),Medicare Advantage with drug coverage,H1889-015-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H1889-015-0?fips=01021&plan_type=PLAN_TYPE_MAPD&zip=35045&year=2025&lang=en&page=2
AL,Chilton,1,35045,UnitedHealthcare,AARP Medicare Advantage Patriot No Rx AL-MA01 (HMO-POS),Medicare Advantage (without drug coverage),H0432-012-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-012-0?fips=01021&plan_type=PLAN_TYPE_MAPD&zip=35045&year=2025&lang=en&page=2
AL,Chilton,1,35045,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0001 (HMO-POS),Medicare Advantage with drug coverage,H0432-003-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-003-0?fips=01021&plan_type=PLAN_TYPE_MAPD&zip=35045&year=2025&lang=en&page=2
AL,Chilton,1,35045,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0002 (HMO-POS),Medicare Advantage with drug coverage,H0432-004-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-004-0?fips=01021&plan_type=PLAN_TYPE_MAPD&zip=35045&year=2025&lang=en&page=3
AL,Choctaw,1,36908,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0003 (HMO-POS),Medicare Advantage with drug coverage,H2802-041-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H2802-041-0?fips=01023&plan_type=PLAN_TYPE_MAPD&zip=36908&year=2025&lang=en&page=1
AL,Choctaw,1,36908,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0004 (PPO),Medicare Advantage with drug coverage,H1889-015-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H1889-015-0?fips=01023&plan_type=PLAN_TYPE_MAPD&zip=36908&year=2025&lang=en&page=1
AL,Choctaw,1,36908,UnitedHealthcare,AARP Medicare Advantage Patriot No Rx AL-MA01 (HMO-POS),Medicare Advantage (without drug coverage),H0432-012-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-012-0?fips=01023&plan_type=PLAN_TYPE_MAPD&zip=36908&year=2025&lang=en&page=1
AL,Choctaw,1,36908,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0001 (HMO-POS),Medicare Advantage with drug coverage,H0432-003-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-003-0?fips=01023&plan_type=PLAN_TYPE_MAPD&zip=36908&year=2025&lang=en&page=1
AL,Choctaw,1,36908,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0002 (HMO-POS),Medicare Advantage with drug coverage,H0432-004-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-004-0?fips=01023&plan_type=PLAN_TYPE_MAPD&zip=36908&year=2025&lang=en&page=2
AL,Clarke,1,36436,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0003 (HMO-POS),Medicare Advantage with drug coverage,H2802-041-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H2802-041-0?fips=01025&plan_type=PLAN_TYPE_MAPD&zip=36436&year=2025&lang=en&page=1
AL,Clarke,1,36436,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0004 (PPO),Medicare Advantage with drug coverage,H1889-015-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H1889-015-0?fips=01025&plan_type=PLAN_TYPE_MAPD&zip=36436&year=2025&lang=en&page=1
AL,Clarke,1,36436,UnitedHealthcare,AARP Medicare Advantage Patriot No Rx AL-MA01 (HMO-POS),Medicare Advantage (without drug coverage),H0432-012-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-012-0?fips=01025&plan_type=PLAN_TYPE_MAPD&zip=36436&year=2025&lang=en&page=1
AL,Clarke,1,36436,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0001 (HMO-POS),Medicare Advantage with drug coverage,H0432-003-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-003-0?fips=01025&plan_type=PLAN_TYPE_MAPD&zip=36436&year=2025&lang=en&page=1
AL,Clarke,1,36436,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0002 (HMO-POS),Medicare Advantage with drug coverage,H0432-004-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-004-0?fips=01025&plan_type=PLAN_TYPE_MAPD&zip=36436&year=2025&lang=en&page=2
AL,Clay,1,35082,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0003 (HMO-POS),Medicare Advantage with drug coverage,H2802-041-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H2802-041-0?fips=01027&plan_type=PLAN_TYPE_MAPD&zip=35082&year=2025&lang=en&page=1
AL,Clay,1,35082,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0004 (PPO),Medicare Advantage with drug coverage,H1889-015-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H1889-015-0?fips=01027&plan_type=PLAN_TYPE_MAPD&zip=35082&year=2025&lang=en&page=1
AL,Clay,1,35082,UnitedHealthcare,AARP Medicare Advantage Patriot No Rx AL-MA01 (HMO-POS),Medicare Advantage (without drug coverage),H0432-012-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-012-0?fips=01027&plan_type=PLAN_TYPE_MAPD&zip=35082&year=2025&lang=en&page=1
AL,Clay,1,35082,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0001 (HMO-POS),Medicare Advantage with drug coverage,H0432-003-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-003-0?fips=01027&plan_type=PLAN_TYPE_MAPD&zip=35082&year=2025&lang=en&page=1
AL,Clay,1,35082,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0002 (HMO-POS),Medicare Advantage with drug coverage,H0432-004-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-004-0?fips=01027&plan_type=PLAN_TYPE_MAPD&zip=35082&year=2025&lang=en&page=2
AL,Cleburne,1,36262,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0003 (HMO-POS),Medicare Advantage with drug coverage,H2802-041-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H2802-041-0?fips=01029&plan_type=PLAN_TYPE_MAPD&zip=36262&year=2025&lang=en&page=1
AL,Cleburne,1,36262,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0004 (PPO),Medicare Advantage with drug coverage,H1889-015-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H1889-015-0?fips=01029&plan_type=PLAN_TYPE_MAPD&zip=36262&year=2025&lang=en&page=1
AL,Cleburne,1,36262,UnitedHealthcare,AARP Medicare Advantage Patriot No Rx AL-MA01 (HMO-POS),Medicare Advantage (without drug coverage),H0432-012-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-012-0?fips=01029&plan_type=PLAN_TYPE_MAPD&zip=36262&year=2025&lang=en&page=1
AL,Cleburne,1,36262,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0001 (HMO-POS),Medicare Advantage with drug coverage,H0432-003-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-003-0?fips=01029&plan_type=PLAN_TYPE_MAPD&zip=36262&year=2025&lang=en&page=1
AL,Cleburne,1,36262,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0002 (HMO-POS),Medicare Advantage with drug coverage,H0432-004-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-004-0?fips=01029&plan_type=PLAN_TYPE_MAPD&zip=36262&year=2025&lang=en&page=2
AL,Colbert,1,38852,UnitedHealthcare,AARP Medicare Advantage from UHC MS-0001 (HMO-POS),Medicare Advantage with drug coverage,H5253-141-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H5253-141-0?fips=28141&plan_type=PLAN_TYPE_MAPD&zip=38852&year=2025&lang=en&page=1
AL,Colbert,1,38852,UnitedHealthcare,AARP Medicare Advantage Patriot No Rx MS-MA01 (PPO),Medicare Advantage (without drug coverage),H8768-031-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H8768-031-0?fips=28141&plan_type=PLAN_TYPE_MAPD&zip=38852&year=2025&lang=en&page=1
AL,Colbert,1,38852,UnitedHealthcare,AARP Medicare Advantage from UHC MS-0003 (PPO),Medicare Advantage with drug coverage,H8768-034-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H8768-034-0?fips=28141&plan_type=PLAN_TYPE_MAPD&zip=38852&year=2025&lang=en&page=1
AL,Colbert,1,38852,UnitedHealthcare,AARP Medicare Advantage Giveback from UHC MS-4 (PPO),Medicare Advantage with drug coverage,H8768-040-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H8768-040-0?fips=28141&plan_type=PLAN_TYPE_MAPD&zip=38852&year=2025&lang=en&page=1
AL,Colbert,1,38852,UnitedHealthcare,AARP Medicare Advantage from UHC MS-0002 (PPO),Medicare Advantage with drug coverage,H8768-030-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H8768-030-0?fips=28141&plan_type=PLAN_TYPE_MAPD&zip=38852&year=2025&lang=en&page=2
AL,Conecuh,1,36473,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0003 (HMO-POS),Medicare Advantage with drug coverage,H2802-041-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H2802-041-0?fips=01035&plan_type=PLAN_TYPE_MAPD&zip=36473&year=2025&lang=en&page=1
AL,Conecuh,1,36473,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0004 (PPO),Medicare Advantage with drug coverage,H1889-015-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H1889-015-0?fips=01035&plan_type=PLAN_TYPE_MAPD&zip=36473&year=2025&lang=en&page=1
AL,Conecuh,1,36473,UnitedHealthcare,AARP Medicare Advantage Patriot No Rx AL-MA01 (HMO-POS),Medicare Advantage (without drug coverage),H0432-012-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-012-0?fips=01035&plan_type=PLAN_TYPE_MAPD&zip=36473&year=2025&lang=en&page=1
AL,Conecuh,1,36473,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0001 (HMO-POS),Medicare Advantage with drug coverage,H0432-003-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-003-0?fips=01035&plan_type=PLAN_TYPE_MAPD&zip=36473&year=2025&lang=en&page=1
AL,Conecuh,1,36473,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0002 (HMO-POS),Medicare Advantage with drug coverage,H0432-004-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-004-0?fips=01035&plan_type=PLAN_TYPE_MAPD&zip=36473&year=2025&lang=en&page=2
AL,Coosa,1,35183,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0003 (HMO-POS),Medicare Advantage with drug coverage,H2802-041-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H2802-041-0?fips=01037&plan_type=PLAN_TYPE_MAPD&zip=35183&year=2025&lang=en&page=1
AL,Coosa,1,35183,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0004 (PPO),Medicare Advantage with drug coverage,H1889-015-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H1889-015-0?fips=01037&plan_type=PLAN_TYPE_MAPD&zip=35183&year=2025&lang=en&page=1
AL,Coosa,1,35183,UnitedHealthcare,AARP Medicare Advantage Patriot No Rx AL-MA01 (HMO-POS),Medicare Advantage (without drug coverage),H0432-012-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-012-0?fips=01037&plan_type=PLAN_TYPE_MAPD&zip=35183&year=2025&lang=en&page=1
AL,Coosa,1,35183,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0001 (HMO-POS),Medicare Advantage with drug coverage,H0432-003-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-003-0?fips=01037&plan_type=PLAN_TYPE_MAPD&zip=35183&year=2025&lang=en&page=2
AL,Coosa,1,35183,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0002 (HMO-POS),Medicare Advantage with drug coverage,H0432-004-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-004-0?fips=01037&plan_type=PLAN_TYPE_MAPD&zip=35183&year=2025&lang=en&page=3
AL,Covington,1,36038,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0003 (HMO-POS),Medicare Advantage with drug coverage,H2802-041-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H2802-041-0?fips=01039&plan_type=PLAN_TYPE_MAPD&zip=36038&year=2025&lang=en&page=1
AL,Covington,1,36038,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0004 (PPO),Medicare Advantage with drug coverage,H1889-015-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H1889-015-0?fips=01039&plan_type=PLAN_TYPE_MAPD&zip=36038&year=2025&lang=en&page=1
AL,Covington,1,36038,UnitedHealthcare,AARP Medicare Advantage Patriot No Rx AL-MA01 (HMO-POS),Medicare Advantage (without drug coverage),H0432-012-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-012-0?fips=01039&plan_type=PLAN_TYPE_MAPD&zip=36038&year=2025&lang=en&page=1
AL,Covington,1,36038,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0001 (HMO-POS),Medicare Advantage with drug coverage,H0432-003-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-003-0?fips=01039&plan_type=PLAN_TYPE_MAPD&zip=36038&year=2025&lang=en&page=1
AL,Covington,1,36038,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0002 (HMO-POS),Medicare Advantage with drug coverage,H0432-004-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-004-0?fips=01039&plan_type=PLAN_TYPE_MAPD&zip=36038&year=2025&lang=en&page=2
AL,Cullman,1,35057,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0003 (HMO-POS),Medicare Advantage with drug coverage,H2802-041-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H2802-041-0?fips=01043&plan_type=PLAN_TYPE_MAPD&zip=35057&year=2025&lang=en&page=1
AL,Cullman,1,35057,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0004 (PPO),Medicare Advantage with drug coverage,H1889-015-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H1889-015-0?fips=01043&plan_type=PLAN_TYPE_MAPD&zip=35057&year=2025&lang=en&page=1
AL,Cullman,1,35057,UnitedHealthcare,AARP Medicare Advantage Patriot No Rx AL-MA01 (HMO-POS),Medicare Advantage (without drug coverage),H0432-012-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-012-0?fips=01043&plan_type=PLAN_TYPE_MAPD&zip=35057&year=2025&lang=en&page=2
AL,Cullman,1,35057,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0001 (HMO-POS),Medicare Advantage with drug coverage,H0432-003-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-003-0?fips=01043&plan_type=PLAN_TYPE_MAPD&zip=35057&year=2025&lang=en&page=2
AL,Cullman,1,35057,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0002 (HMO-POS),Medicare Advantage with drug coverage,H0432-004-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-004-0?fips=01043&plan_type=PLAN_TYPE_MAPD&zip=35057&year=2025&lang=en&page=3
AL,Dale,1,36362,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0003 (HMO-POS),Medicare Advantage with drug coverage,H2802-041-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H2802-041-0?fips=01045&plan_type=PLAN_TYPE_MAPD&zip=36362&year=2025&lang=en&page=1
AL,Dale,1,36362,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0004 (PPO),Medicare Advantage with drug coverage,H1889-015-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H1889-015-0?fips=01045&plan_type=PLAN_TYPE_MAPD&zip=36362&year=2025&lang=en&page=1
AL,Dale,1,36362,UnitedHealthcare,AARP Medicare Advantage Patriot No Rx AL-MA01 (HMO-POS),Medicare Advantage (without drug coverage),H0432-012-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-012-0?fips=01045&plan_type=PLAN_TYPE_MAPD&zip=36362&year=2025&lang=en&page=1
AL,Dale,1,36362,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0001 (HMO-POS),Medicare Advantage with drug coverage,H0432-003-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-003-0?fips=01045&plan_type=PLAN_TYPE_MAPD&zip=36362&year=2025&lang=en&page=2
AL,Dale,1,36362,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0002 (HMO-POS),Medicare Advantage with drug coverage,H0432-004-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-004-0?fips=01045&plan_type=PLAN_TYPE_MAPD&zip=36362&year=2025&lang=en&page=2
AL,Dallas,1,36767,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0003 (HMO-POS),Medicare Advantage with drug coverage,H2802-041-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H2802-041-0?fips=01047&plan_type=PLAN_TYPE_MAPD&zip=36767&year=2025&lang=en&page=1
AL,Dallas,1,36767,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0004 (PPO),Medicare Advantage with drug coverage,H1889-015-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H1889-015-0?fips=01047&plan_type=PLAN_TYPE_MAPD&zip=36767&year=2025&lang=en&page=1
AL,Dallas,1,36767,UnitedHealthcare,AARP Medicare Advantage Patriot No Rx AL-MA01 (HMO-POS),Medicare Advantage (without drug coverage),H0432-012-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-012-0?fips=01047&plan_type=PLAN_TYPE_MAPD&zip=36767&year=2025&lang=en&page=2
AL,Dallas,1,36767,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0001 (HMO-POS),Medicare Advantage with drug coverage,H0432-003-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-003-0?fips=01047&plan_type=PLAN_TYPE_MAPD&zip=36767&year=2025&lang=en&page=2
AL,Dallas,1,36767,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0002 (HMO-POS),Medicare Advantage with drug coverage,H0432-004-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-004-0?fips=01047&plan_type=PLAN_TYPE_MAPD&zip=36767&year=2025&lang=en&page=3
AL,DeKalb,1,35963,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0003 (HMO-POS),Medicare Advantage with drug coverage,H2802-041-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H2802-041-0?fips=01049&plan_type=PLAN_TYPE_MAPD&zip=35963&year=2025&lang=en&page=1
AL,DeKalb,1,35963,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0004 (PPO),Medicare Advantage with drug coverage,H1889-015-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H1889-015-0?fips=01049&plan_type=PLAN_TYPE_MAPD&zip=35963&year=2025&lang=en&page=1
AL,DeKalb,1,35963,UnitedHealthcare,AARP Medicare Advantage Patriot No Rx AL-MA01 (HMO-POS),Medicare Advantage (without drug coverage),H0432-012-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-012-0?fips=01049&plan_type=PLAN_TYPE_MAPD&zip=35963&year=2025&lang=en&page=1
AL,DeKalb,1,35963,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0001 (HMO-POS),Medicare Advantage with drug coverage,H0432-003-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-003-0?fips=01049&plan_type=PLAN_TYPE_MAPD&zip=35963&year=2025&lang=en&page=2
AL,DeKalb,1,35963,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0002 (HMO-POS),Medicare Advantage with drug coverage,H0432-004-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-004-0?fips=01049&plan_type=PLAN_TYPE_MAPD&zip=35963&year=2025&lang=en&page=3
AL,Elmore,1,36024,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0003 (HMO-POS),Medicare Advantage with drug coverage,H2802-041-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H2802-041-0?fips=01051&plan_type=PLAN_TYPE_MAPD&zip=36024&year=2025&lang=en&page=1
AL,Elmore,1,36024,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0004 (PPO),Medicare Advantage with drug coverage,H1889-015-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H1889-015-0?fips=01051&plan_type=PLAN_TYPE_MAPD&zip=36024&year=2025&lang=en&page=1
AL,Elmore,1,36024,UnitedHealthcare,AARP Medicare Advantage Patriot No Rx AL-MA01 (HMO-POS),Medicare Advantage (without drug coverage),H0432-012-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-012-0?fips=01051&plan_type=PLAN_TYPE_MAPD&zip=36024&year=2025&lang=en&page=2
AL,Elmore,1,36024,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0001 (HMO-POS),Medicare Advantage with drug coverage,H0432-003-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-003-0?fips=01051&plan_type=PLAN_TYPE_MAPD&zip=36024&year=2025&lang=en&page=2
AL,Elmore,1,36024,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0002 (HMO-POS),Medicare Advantage with drug coverage,H0432-004-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-004-0?fips=01051&plan_type=PLAN_TYPE_MAPD&zip=36024&year=2025&lang=en&page=3
AL,Escambia,1,36441,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0003 (HMO-POS),Medicare Advantage with drug coverage,H2802-041-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H2802-041-0?fips=01053&plan_type=PLAN_TYPE_MAPD&zip=36441&year=2025&lang=en&page=1
AL,Escambia,1,36441,UnitedHealthcare,AARP Medicare Advantage from UHC AL-0004 (PPO),Medicare Advantage with drug coverage,H1889-015-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H1889-015-0?fips=01053&plan_type=PLAN_TYPE_MAPD&zip=36441&year=2025&lang=en&page=1
AL,Escambia,1,36441,UnitedHealthcare,AARP Medicare Advantage Patriot No Rx AL-MA01 (HMO-POS),Medicare Advantage (without drug coverage),H0432-012-0,https://www.medicare.gov/plan-compare/#/plan-details/2025-H0432-012-0?fips=01053&plan_type=PLAN_TYPE_MAPD&zip=36441&year=2025&lang=en&page=1
